№,Предмет обучения,Группа и отделение,Семестр,Кол-во недель,1. Теоретические часы,2. Разделение на лабор. и практик.,3. Консультации,4. Руководство ВКР,5. Практика,6. Рецензии на курсовые работы,7. Участие в работе ГАК,8. Консультации к ГАК,9. Экзамен,Итого
1,МДК 04.02,ОТП-41,8,—,76,—,—,—,—,—,—,—,89
2,МДК 04.03,ОТП-41,8,—,74,—,—,—,—,—,—,—,74
3,МДК 05.02,М-21,3,—,36,—,—,—,—,—,—,—,36
4,МДК 05.02,М-21,4,—,76,60,2,—,—,—,—,8,—,146
5,МДК 02.01,КИП-31,5,—,140,—,5,—,—,—,—,8,—,153
6,УП02,КИП-31,5,—,—,—,—,—,36,—,—,—,—,36
7,МДК 03.01,КИП-31,6,—,106,—,5,—,—,—,—,8,—,119
8,МДК 03.02,КИП-31,6,—,120,—,—,—,—,—,—,—,—,120
9,УП03,КИП-31,6,—,—,—,—,—,108,—,—,—,—,108
10,МДК 02.01,С-21,3,—,48,—,2,—,—,—,—,—,—,50
11,МДК 02.02,С-21,3,—,48,—,2,—,—,—,—,8,—,58
12,МДК 02.01,С-22,3,—,48,—,2,—,—,—,—,—,—,50
13,МДК 02.02,С-22,3,—,48,—,2,—,—,—,—,8,—,58
14,МДК 03.02,С-21,4,—,56,—,—,—,—,—,—,—,—,56
15,МДК 03.02,С-22,4,—,56,—,—,—,—,—,—,8,—,64
16,МДК 01.02,М-21,3,—,38,—,—,—,—,—,—,—,—,38
17,МДК 01.02,М-21,4,—,66,48,2,—,—,—,—,—,8,124
Итого,,,,—,1036,108,27,—,144,—,—,64,—,1379
